ID,REGIÓN,ESPECIE,SISTEMA RECOMENDADO (Default),D_FILA (m),D_PLANTA (m),DENSIDAD,PRECIO PLANTON REF. (S/),PRECIO TOTAL DE PLANTONES,PRECIO JORNAL,JORNALES BASE (Días/Ha),PREPARACION DE TERRENO E INSTALACION,COSTO INSUMOS Y EQUIPOS (S/),GESTIÓN ADMIN (%),INVERSION TOTAL
1,CAJAMARCA,Pino Radiata,TRES_BOLILLO,3,3,1283,0.8,1026,40,60,2400,"1,200.00",0.10,5089.04
2,CAJAMARCA,Pino Patula,TRES_BOLILLO,3,3,1283,0.8,1026,40,60,2400,"1,200.00",0.10,5089.04
3,CAJAMARCA,Eucalipto Globulus,CUADRADO,3,3,1111,0.8,889,40,55,2200,"1,100.00",0.10,4607.78
4,ANCASH,Eucalipto Globulus,CUADRADO,3,3,1111,1,1111,40,60,2400,"1,200.00",0.10,5182.22
5,ANCASH,Pino Radiata,CUADRADO,3,3,1111,1,1111,40,65,2600,"1,300.00",0.10,5512.22
6,ANCASH,Tara (Caesalpinia),RECTANGULO,4,4,625,2.5,1563,40,50,2000,800,0.10,4798.75
7,PASCO,Pino Tecunumanii,RECTANGULO,4,3,833,1.5,1250,45,70,3150,"1,400.00",0.12,6496.00
8,PASCO,Eucalipto Urograndis,RECTANGULO,3,3,1111,2,2222,45,65,2925,"1,500.00",0.12,7444.89
9,PASCO,Ulcumano (Nativa),RECTANGULO,4,4,625,3,1875,45,75,3375,"1,200.00",0.12,7224.00
10,JUNIN,Eucalipto Tropical (Clon),RECTANGULO,3,2.5,1333,2.5,3333,50,70,3500,"1,800.00",0.12,9669.33
11,JUNIN,Pino Tecunumanii,RECTANGULO,3,3,1111,1.8,2000,50,75,3750,"1,600.00",0.12,8232.00
12,JUNIN,Bolaina Blanca,CUADRADO,3,3,1111,1.5,1667,50,80,4000,"1,500.00",0.12,8026.67
13,HUANUCO,Bolaina Blanca,CUADRADO,3,3,1111,1.5,1667,50,85,4250,"1,400.00",0.12,8194.67
14,HUANUCO,Capirona,RECTANGULO,4,3,833,1.8,1500,50,85,4250,"1,400.00",0.12,8008.00
15,SAN MARTIN,Teca (Clonal),CUADRADO,3,4,833,3.5,2917,55,80,4400,"1,800.00",0.15,10484.17
16,SAN MARTIN,Capirona,RECTANGULO,4,3,833,1.5,1250,55,80,4400,"1,500.00",0.15,8222.50
17,SAN MARTIN,Eucalipto Urograndis,CUADRADO,3,3,1111,2.5,2778,55,75,4125,"1,800.00",0.15,10008.19
18,MADRE DE DIOS,Shihuahuaco,RECTANGULO,4,4,625,5,3125,60,85,5100,"2,000.00",0.15,11758.75
19,MADRE DE DIOS,Teca,RECTANGULO,4,4,625,4,2500,60,80,4800,"2,000.00",0.15,10695.00
20,MADRE DE DIOS,Castaña (Injerto),RECTANGULO,7,7,204,15,3061,60,60,3600,"1,500.00",0.15,9385.41
